date,ticker,adj_close
2016-05-25,F,12.508453768914
2016-05-24,F,12.295662025804
2016-05-23,F,12.147632987119
2016-05-20,F,12.203143876626
2016-05-19,F,12.110625727447
2016-05-18,F,12.175388431872
2016-05-17,F,12.156884802036
2016-05-16,F,12.323417470558
2016-05-13,F,12.230899321379
2016-05-12,F,12.351172915311
2016-05-11,F,12.323417470558
2016-05-10,F,12.480698324161
2016-05-09,F,12.323417470558
2016-05-06,F,12.434439249572
2016-05-05,F,12.323417470558
2016-05-04,F,12.31416565564
2016-05-03,F,12.425187434654
2016-05-02,F,12.600971918093
2016-04-29,F,12.545461028586
2016-04-28,F,13.035807219231
2016-04-27,F,12.637979177764
2016-04-26,F,12.583071230576
2016-04-25,F,12.427498713543
2016-04-22,F,12.454952687137
2016-04-21,F,12.491557985263
2016-04-20,F,12.482406660731
2016-04-19,F,12.299380170105
2016-04-18,F,12.12550500401
2016-04-15,F,11.841813943538
2016-04-14,F,11.979083811508
2016-04-13,F,11.951629837914
2016-04-12,F,11.722846724631
2016-04-11,F,11.585576856661
2016-04-08,F,11.484912286817
2016-04-07,F,11.457458313223
2016-04-06,F,11.731998049162
2016-04-05,F,11.686241426506
2016-04-04,F,11.7136954001
2016-04-01,F,11.98823513604
2016-03-31,F,12.354288117293
2016-03-30,F,12.217018249323
2016-03-29,F,12.079748381353
2016-03-28,F,11.979083811508
2016-03-24,F,11.951629837914
2016-03-23,F,12.134656328541
2016-03-22,F,12.436650038075
2016-03-21,F,12.500709309794
2016-03-18,F,12.482406660731
2016-03-17,F,12.326834143699
2016-03-16,F,12.354288117293
2016-03-15,F,12.107202354947
2016-03-14,F,12.143807653072
2016-03-11,F,12.162110302135
2016-03-10,F,12.033991758696
2016-03-09,F,12.070597056822
2016-03-08,F,12.107202354947
2016-03-07,F,12.464104011669
2016-03-04,F,12.436650038075
2016-03-03,F,12.390893415418
2016-03-02,F,12.098051030416
2016-03-01,F,11.979083811508
2016-02-29,F,11.448306988691
2016-02-26,F,11.411701690566
2016-02-25,F,11.338491094315
2016-02-24,F,11.054800033844
2016-02-23,F,11.365945067909
2016-02-22,F,11.494063611348
2016-02-19,F,11.073102682907
2016-02-18,F,11.219523875408
2016-02-17,F,11.228675199939
2016-02-16,F,10.862622218686
2016-02-12,F,10.569779833684
2016-02-11,F,10.222029501493
2016-02-10,F,10.377602018526
2016-02-09,F,10.386753343057
2016-02-08,F,10.606385131809
2016-02-05,F,10.478266588371
2016-02-04,F,10.551477184621
2016-02-03,F,10.487417912902
2016-02-02,F,10.533174535559
2016-02-01,F,11.045648709313
2016-01-29,F,10.926681490406
2016-01-28,F,10.716201026185
2016-01-27,F,10.844319569624
