None,date,ticker,adj_close
2387,2017-03-21,ABC,84.752464761652
2388,2017-03-20,ABC,85.738990949076
2389,2017-03-17,ABC,86.35063718528
2390,2017-03-16,ABC,86.814304493369
2391,2017-03-15,ABC,88.274363250758
2392,2017-03-14,ABC,87.613390705183
2393,2017-03-13,ABC,87.938944347033
2394,2017-03-10,ABC,87.120127611471
2395,2017-03-09,ABC,87.416085467698
2396,2017-03-08,ABC,87.879752775788
2397,2017-03-07,ABC,87.287837063333
2398,2017-03-06,ABC,88.777491606344
2399,2017-03-03,ABC,90.987310266175
2400,2017-03-02,ABC,90.701217671822
2401,2017-03-01,ABC,90.987310266175
2402,2017-02-28,ABC,90.27701141123
2403,2017-02-27,ABC,90.494047172463
2404,2017-02-24,ABC,90.918253433056
2405,2017-02-23,ABC,90.375664029972
2406,2017-02-22,ABC,90.109301959368
2407,2017-02-21,ABC,89.783748317517
2408,2017-02-17,ABC,89.537116770661
2409,2017-02-16,ABC,89.103045248194
2410,2017-02-15,ABC,89.589410219224
2411,2017-02-14,ABC,89.235690240293
2412,2017-02-13,ABC,88.901621371303
2413,2017-02-10,ABC,89.579584664254
2414,2017-02-09,ABC,90.051211302829
2415,2017-02-08,ABC,89.481329114551
2416,2017-02-07,ABC,88.754238046749
2417,2017-02-06,ABC,88.410343622788
2418,2017-02-03,ABC,87.722554774867
2419,2017-02-02,ABC,86.51401151352
2420,2017-02-01,ABC,87.064242591856
2421,2017-01-31,ABC,85.757443780806
2422,2017-01-30,ABC,82.161290661675
2423,2017-01-27,ABC,80.992049620209
2424,2017-01-26,ABC,81.935302897358
2425,2017-01-25,ABC,84.332738310112
2426,2017-01-24,ABC,82.937509504329
2427,2017-01-23,ABC,83.399310587933
2428,2017-01-20,ABC,82.289022876289
2429,2017-01-19,ABC,83.979018331181
2430,2017-01-18,ABC,84.018320551063
2431,2017-01-17,ABC,84.489947189637
2432,2017-01-13,ABC,83.143846158706
2433,2017-01-12,ABC,82.397103980962
2434,2017-01-11,ABC,80.107749672882
2435,2017-01-10,ABC,83.350182813082
2436,2017-01-09,ABC,83.988843886152
2437,2017-01-06,ABC,83.320706148171
2438,2017-01-05,ABC,82.220243991497
2439,2017-01-04,ABC,83.183148378587
2440,2017-01-03,ABC,81.168909609675
2441,2016-12-30,ABC,76.826014312801
2442,2016-12-29,ABC,77.955953134385
2443,2016-12-28,ABC,76.983223192325
2444,2016-12-27,ABC,77.44502427593
2445,2016-12-23,ABC,77.189559846702
2446,2016-12-22,ABC,76.452643223929
2447,2016-12-21,ABC,77.474500940841
2448,2016-12-20,ABC,77.916650914504
2449,2016-12-19,ABC,77.052002077118
2450,2016-12-16,ABC,76.030144360206
2451,2016-12-15,ABC,75.332529957314
2452,2016-12-14,ABC,75.705901046186
2453,2016-12-13,ABC,77.661186485276
2454,2016-12-12,ABC,76.708107653157
2455,2016-12-09,ABC,77.523628715692
2456,2016-12-08,ABC,75.538866611691
2457,2016-12-07,ABC,75.047588863176
2458,2016-12-06,ABC,77.494152050781
2459,2016-12-05,ABC,78.152464233792
2460,2016-12-02,ABC,77.425373165989
2461,2016-12-01,ABC,76.442817668959
2462,2016-11-30,ABC,76.629503213394
2463,2016-11-29,ABC,76.275783234464
2464,2016-11-28,ABC,77.671012040247
2465,2016-11-25,ABC,77.199385401672
2466,2016-11-23,ABC,77.327117616286
2467,2016-11-22,ABC,77.042176522147
2468,2016-11-21,ABC,77.081478742028
2469,2016-11-18,ABC,77.828220919771
2470,2016-11-17,ABC,78.76164864195
2471,2016-11-16,ABC,77.133109120201
2472,2016-11-15,ABC,77.78843733616
2473,2016-11-14,ABC,79.549020602916
2474,2016-11-11,ABC,77.191795229093
2475,2016-11-10,ABC,77.847123445052
2476,2016-11-09,ABC,73.954278221892
2477,2016-11-08,ABC,67.518368280085
2478,2016-11-07,ABC,70.354863543191
2479,2016-11-04,ABC,68.926834893489
2480,2016-11-03,ABC,70.736323250988
2481,2016-11-02,ABC,74.296613857095
2482,2016-11-01,ABC,68.261725659382
2483,2016-10-31,ABC,68.78011962126
2484,2016-10-28,ABC,67.62595947972
2485,2016-10-27,ABC,77.759094281714
2486,2016-10-26,ABC,77.631941045782
2487,2016-10-25,ABC,78.629604896944
2488,2016-10-24,ABC,78.287269261741
2489,2016-10-21,ABC,78.267707225444
2490,2016-10-20,ABC,78.971940532146
2491,2016-10-19,ABC,78.590480824349
2492,2016-10-18,ABC,79.314276167349
2493,2016-10-17,ABC,77.993838717282
2494,2016-10-14,ABC,78.042743808025
2495,2016-10-13,ABC,78.619823878795
2496,2016-10-12,ABC,78.844787296214
2497,2016-10-11,ABC,77.866685481349
2498,2016-10-10,ABC,77.896028535795
2499,2016-10-07,ABC,77.651503082079
2500,2016-10-06,ABC,78.385079443228
2501,2016-10-05,ABC,78.277488243592
2502,2016-10-04,ABC,78.766539151025
2503,2016-10-03,ABC,78.36551740693
2504,2016-09-30,ABC,79.011064604741
2505,2016-09-29,ABC,79.470772457727
2506,2016-09-28,ABC,81.378070996712
2507,2016-09-27,ABC,81.426976087456
2508,2016-09-26,ABC,80.908582125578
2509,2016-09-23,ABC,81.505224232645
2510,2016-09-22,ABC,81.759530704509
2511,2016-09-21,ABC,81.202012670037
2512,2016-09-20,ABC,80.282596964064
2513,2016-09-19,ABC,81.436757105604
2514,2016-09-16,ABC,82.268143648239
2515,2016-09-15,ABC,82.356172811577
2516,2016-09-14,ABC,82.013837176374
2517,2016-09-13,ABC,83.383179717184
2518,2016-09-12,ABC,85.045952802454
2519,2016-09-09,ABC,83.441865826076
2520,2016-09-08,ABC,85.35894538321
2521,2016-09-07,ABC,85.828434254345
2522,2016-09-06,ABC,85.711062036561
2523,2016-09-02,ABC,85.525222691737
2524,2016-09-01,ABC,85.241573165427
2525,2016-08-31,ABC,85.065514838751
2526,2016-08-30,ABC,84.155880150927
2527,2016-08-29,ABC,84.41996764094
2528,2016-08-26,ABC,83.872230624616
2529,2016-08-25,ABC,83.637486189049
2530,2016-08-24,ABC,86.454419415858
2531,2016-08-23,ABC,87.041280504777
2532,2016-08-22,ABC,86.806536069209
2533,2016-08-19,ABC,86.904346250696
2534,2016-08-18,ABC,87.02171846848
2535,2016-08-17,ABC,86.66119852857
2536,2016-08-16,ABC,87.167875200875
2537,2016-08-15,ABC,87.099668725757
2538,2016-08-12,ABC,86.631967182091
2539,2016-08-11,ABC,86.67094231073
2540,2016-08-10,ABC,85.647845183959
2541,2016-08-09,ABC,86.349397499459
2542,2016-08-08,ABC,86.398116410257
2543,2016-08-05,ABC,87.060693597118
2544,2016-08-04,ABC,86.700173657209
2545,2016-08-03,ABC,87.586857833743
2546,2016-08-02,ABC,87.138643854396
2547,2016-08-01,ABC,83.348312594264
2548,2016-07-29,ABC,83.007280218674
2549,2016-07-28,ABC,82.646760278764
2550,2016-07-27,ABC,83.231387208348
2551,2016-07-26,ABC,83.51395689098
2552,2016-07-25,ABC,83.221643426188
2553,2016-07-22,ABC,83.660113623375
2554,2016-07-21,ABC,83.611394712577
2555,2016-07-20,ABC,84.420128631834
2556,2016-07-19,ABC,83.718576316334
2557,2016-07-18,ABC,83.825757920091
2558,2016-07-15,ABC,83.358056376424
2559,2016-07-14,ABC,83.747807662813
2560,2016-07-13,ABC,82.753941882521
2561,2016-07-12,ABC,82.023158220542
2562,2016-07-11,ABC,80.074401788598
2563,2016-07-08,ABC,79.821063452445
2564,2016-07-07,ABC,78.914891711591
2565,2016-07-06,ABC,79.109767354785
2566,2016-07-05,ABC,78.301033435528
2567,2016-07-01,ABC,78.106157792334
2568,2016-06-30,ABC,77.287680090917
2569,2016-06-29,ABC,75.280460966014
2570,2016-06-28,ABC,73.390167227028
2571,2016-06-27,ABC,71.957831249549
2572,2016-06-24,ABC,73.507092612945
2573,2016-06-23,ABC,75.563030648646
2574,2016-06-22,ABC,75.153791797938
2575,2016-06-21,ABC,74.608139996993
2576,2016-06-20,ABC,74.413264353799
2577,2016-06-17,ABC,73.760430949098
2578,2016-06-16,ABC,74.052744413889
2579,2016-06-15,ABC,74.169669799806
2580,2016-06-14,ABC,73.575299088063
2581,2016-06-13,ABC,74.452239482438
2582,2016-06-10,ABC,74.500958393236
2583,2016-06-09,ABC,74.218388710605
2584,2016-06-08,ABC,74.296338967882
2585,2016-06-07,ABC,74.267107621403
2586,2016-06-06,ABC,74.491214611077
2587,2016-06-03,ABC,74.578908650514
2588,2016-06-02,ABC,75.105072887139
2589,2016-06-01,ABC,73.701968256139
2590,2016-05-31,ABC,73.058878633598
2591,2016-05-27,ABC,72.133219328424
2592,2016-05-26,ABC,71.801930734993
2593,2016-05-25,ABC,72.142963110584
2594,2016-05-24,ABC,72.435276575375
2595,2016-05-23,ABC,72.045525288986
2596,2016-05-20,ABC,72.902978119042
2597,2016-05-19,ABC,73.127085108716
2598,2016-05-18,ABC,72.894288976257
2599,2016-05-17,ABC,72.292898967404
2600,2016-05-16,ABC,72.351098000519
2601,2016-05-13,ABC,71.44901298724
2602,2016-05-12,ABC,72.535394938715
2603,2016-05-11,ABC,73.485979146257
2604,2016-05-10,ABC,74.378364320683
2605,2016-05-09,ABC,75.047653201503
2606,2016-05-06,ABC,74.223166899044
2607,2016-05-05,ABC,75.658743049208
2608,2016-05-04,ABC,81.759941687407
2609,2016-05-03,ABC,82.91422251085
2610,2016-05-02,ABC,82.671726539539
2611,2016-04-29,ABC,82.545628634457
2612,2016-04-28,ABC,83.826007362982
2613,2016-04-27,ABC,87.919339358721
2614,2016-04-26,ABC,88.540129045279
2615,2016-04-25,ABC,88.763225338885
2616,2016-04-22,ABC,89.131819215279
2617,2016-04-21,ABC,89.073620182164
2618,2016-04-20,ABC,89.102719698722
2619,2016-04-19,ABC,86.803857890688
2620,2016-04-18,ABC,85.998771265933
2621,2016-04-15,ABC,85.193684641179
2622,2016-04-14,ABC,84.097602850851
2623,2016-04-13,ABC,82.613527506424
2624,2016-04-12,ABC,82.351631857408
2625,2016-04-11,ABC,81.905439270194
2626,2016-04-08,ABC,82.749325250359
2627,2016-04-07,ABC,84.058803495441
2628,2016-04-06,ABC,84.912389314458
2629,2016-04-05,ABC,83.117919126752
2630,2016-04-04,ABC,84.543795438064
2631,2016-04-01,ABC,83.913305912654
2632,2016-03-31,ABC,83.952105268064
2633,2016-03-30,ABC,84.475896566097
2634,2016-03-29,ABC,83.826007362982
2635,2016-03-28,ABC,83.884206396097
2636,2016-03-24,ABC,83.58351139167
2637,2016-03-23,ABC,84.650493665441
2638,2016-03-22,ABC,84.543795438064
2639,2016-03-21,ABC,84.514695921507
2640,2016-03-18,ABC,84.854190281343
2641,2016-03-17,ABC,83.302216064949
2642,2016-03-16,ABC,84.456496888392
2643,2016-03-15,ABC,83.709609296752
2644,2016-03-14,ABC,85.319782546261
2645,2016-03-11,ABC,86.862056923803
2646,2016-03-10,ABC,83.593211230523
2647,2016-03-09,ABC,84.941488831015
2648,2016-03-08,ABC,85.183984802327
2649,2016-03-07,ABC,85.455580290196
2650,2016-03-04,ABC,85.358581901671
2651,2016-03-03,ABC,85.571978356425
2652,2016-03-02,ABC,84.99968786413
2653,2016-03-01,ABC,84.805691087081
2654,2016-02-29,ABC,84.020004140031
2655,2016-02-26,ABC,84.912389314458
2656,2016-02-25,ABC,84.970588347572
2657,2016-02-24,ABC,84.466196727244
2658,2016-02-23,ABC,84.728092376261
2659,2016-02-22,ABC,85.067586736097
2660,2016-02-19,ABC,84.233400594785
2661,2016-02-18,ABC,84.087903011998
2662,2016-02-17,ABC,84.532352459149
2663,2016-02-16,ABC,82.715906892533
2664,2016-02-12,ABC,82.715906892533
2665,2016-02-11,ABC,81.691740775186
2666,2016-02-10,ABC,82.70624494803
2667,2016-02-09,ABC,81.884979665252
2668,2016-02-08,ABC,80.793179936382
2669,2016-02-05,ABC,81.836669942735
2670,2016-02-04,ABC,81.546811607637
2671,2016-02-03,ABC,85.015449684313
2672,2016-02-02,ABC,85.160378851862
2673,2016-02-01,ABC,85.991306079143
2674,2016-01-29,ABC,86.532374971327
2675,2016-01-28,ABC,84.339113569083
2676,2016-01-27,ABC,87.13141553053
2677,2016-01-26,ABC,88.174905536883
2678,2016-01-25,ABC,88.184567481387
2679,2016-01-22,ABC,87.923694979798
2680,2016-01-21,ABC,87.508231366158
2681,2016-01-20,ABC,87.827075534766
2682,2016-01-19,ABC,89.411634433303
2683,2016-01-15,ABC,89.633859156878
2684,2016-01-14,ABC,90.551743884689
2685,2016-01-13,ABC,89.991351103499
2686,2016-01-12,ABC,90.99619333184
2687,2016-01-11,ABC,90.8802499978
2688,2016-01-08,ABC,94.648408354077
2689,2016-01-07,ABC,95.199139190764
2690,2016-01-06,ABC,98.339271154328
2691,2016-01-05,ABC,99.865858385846
2692,2016-01-04,ABC,98.426228654858
