DATE,DEXCHUS,DEXJPUS,DEXKOUS,DEXMAUS,DEXUSEU,DEXUSUK,DEXTHUS,DEXSZUS,CNY_SFR,YEN_SFR,WON_SFR,MYR_SFR,EUR_SFR,GBP_SFR,THB_SFR,USD_SFR,JPY_SFR,ret_USD_SFR,ret_YEN_SFR,ret_CNY_SFR,ret_WON_SFR,ret_MYR_SFR,ret_EUR_SFR,ret_GBP_SFR,ret_JPY_SFR,ret_THB_SFR
2009-12-10,6.8264,88.2,1165.0,3.395,1.4716,1.6257,33.1,1.027,6.646932814021421,85.88120740019475,1134.3719571567674,3.3057448880233693,0.6616674602265074,0.5989480435931157,32.229795520934765,0.9737098344693282,85.88120740019475,-0.0007789678675753642,0.0034304341805744265,-0.0009399555109801394,0.0035280193398918858,-0.0010732025649052845,-0.00016786503465948677,-0.0017009285910782879,0.0034304341805744265,-0.0010807561587661274
2009-12-11,6.8269,89.23,1162.5,3.398,1.4601,1.6236,33.12,1.0356,6.592217072228659,86.16261104673619,1122.5376593279257,3.2811896485129393,0.6613408622493382,0.5947424199126994,31.981460023174968,0.9656237929702587,86.16261104673619,-0.008304364619544424,0.0032766615079145023,-0.00823172782449999,-0.010432466841390986,-0.007428050361476202,-0.0004935983659486443,-0.00702168364251865,0.0032766615079145023,-0.007705152755266176
2009-12-14,6.8281,88.65,1156.0,3.407,1.4645,1.6285,33.12,1.0321,6.615734909408003,85.89283984110067,1120.046507121403,3.3010367212479412,0.6615898685979975,0.5949636859452055,32.089913768045726,0.9688983625617672,85.89283984110067,0.0033911442689662508,-0.0031309543937705353,0.0035675155902281652,-0.002219214817268722,0.006048742944193108,0.00037651741011801576,0.0003720367424584481,-0.0031309543937705353,0.0033911442689660287
2009-12-15,6.827,89.91,1156.5,3.412,1.4514,1.6234,33.15,1.0421,6.55119470300355,86.27770847327511,1109.778332213799,3.274157950292678,0.6611553025111457,0.5911055846154226,31.810766721044043,0.9596008060646771,86.27770847327511,-0.009596008060646644,0.00448079994661299,-0.009755561141464808,-0.009167632631607248,-0.008142524068954216,-0.0006568511814920575,-0.006484599683850734,0.00448079994661299,-0.008698902995484148
2009-12-16,6.8279,89.52,1160.3,3.423,1.4577,1.6369,33.17,1.0355,6.593819410912602,86.45098985997102,1120.521487204249,3.305649444712699,0.6624936851930043,0.5899670382465896,32.0328343795268,0.9657170449058425,86.45098985997102,0.006373732496378404,0.0020084143374019536,0.006506402242862475,0.00968045120237604,0.00961819646398121,0.0020243090795388774,-0.0019261302861379725,0.0020084143374019536,0.006980896135893699
2009-12-17,6.8286,90.35,1172.9,3.435,1.4317,1.6135,33.23,1.0491,6.509007720903632,86.12143742255266,1118.0059098274714,3.274235058621676,0.6657805261020354,0.5907641643757572,31.67476884949004,0.9531979792202842,86.12143742255266,-0.012963492517395703,-0.0038120146218354467,-0.01286230100093555,-0.002245005924031096,-0.009503241833845877,0.004961316586849396,0.0013511367203440372,-0.0038120146218354467,-0.011178078274135084
2009-12-18,6.828,90.47,1171.2,3.435,1.4281,1.6083,33.23,1.0452,6.532721010332952,86.55759663222351,1120.5510907003445,3.286452353616533,0.6699493649590167,0.5948857104383335,31.792958285495597,0.9567546880979718,86.55759663222351,0.003731343283582156,0.005064467369847003,0.003643149685191638,0.0022765361528955808,0.003731343283582156,0.006261581247184678,0.006976635197450509,0.005064467369847003,0.003731343283581934
2009-12-21,6.8284,90.95,1185.4,3.4325,1.4319,1.6083,33.22,1.0441,6.539986591322671,87.1085145101044,1135.3318647639117,3.2875203524566614,0.6688753868365551,0.5955124456949967,31.816875778182165,0.9577626664112633,87.1085145101044,0.001053538933052156,0.006364754791213789,0.0011121829599376465,0.013190629312876068,0.0003249701274241623,-0.00160307357336964,0.001053538933052156,0.006364754791213789,0.0007522889965694279
2009-12-22,6.8285,91.67,1179.0,3.431,1.4243,1.5956,33.25,1.0486,6.512016021361816,87.42132366965478,1124.3562845699028,3.2719816898722107,0.6695587229045822,0.5976764157890426,31.70894526034713,0.9536524890329964,87.42132366965478,-0.004291436200648535,0.003591028515520067,-0.004276854328411961,-0.009667288072013447,-0.004726560117822243,0.0010216193949950103,0.003633794910063326,0.003591028515520067,-0.0033922412303299954
2009-12-23,6.8282,91.52,1182.0,3.435,1.4341,1.5955,33.33,1.038,6.578227360308285,88.16955684007706,1138.728323699422,3.3092485549132946,0.6717740302639575,0.6038176977759583,32.10982658959537,0.9633911368015414,88.16955684007706,0.010211946050096232,0.008558932066158986,0.01016756388947293,0.012782459907730193,0.011389692416811537,0.003308608018375514,0.010275262373885097,0.008558932066158986,0.012642531183449934
2009-12-24,6.8271,91.69,1173.07,3.428,1.4367,1.5941,33.3,1.0369,6.584145047738451,88.42704214485487,1131.3241392612595,3.3060082939531297,0.6712696837164535,0.6049891189984496,32.11495804802777,0.9644131545954288,88.42704214485487,0.0010608544700549949,0.0029203425082970913,0.0008995869412895541,-0.0065021518162543535,-0.0009791530936393844,-0.0007507681523590826,0.0019400246577834235,0.0029203425082970913,0.00015980959654471327
2009-12-25,6.8271,91.69,1173.07,3.428,1.4367,1.5941,33.3,1.0369,6.584145047738451,88.42704214485487,1131.3241392612595,3.3060082939531297,0.6712696837164535,0.6049891189984496,32.11495804802777,0.9644131545954288,88.42704214485487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
