date,TBIL,AMZN,INTC,JNJ,JPM,KO,META,NFLX,PG,TSLA,XOM
06/09/24,0.0493,187.9700012,23.90999985,161.3999939,209.2179108,71.24960327,566.90271,707.3499756,172.5355835,260.4599915,115.8199997
09/09/24,0.0489,186.3300018,23.45999908,162.0599976,209.5757141,71.31906891,571.9786377,709.2700195,172.1876221,261.6300049,117.2200012
10/09/24,0.0485,185.1300049,22.69000053,161.9900055,205.7789764,71.17019653,576.0053711,706.1300049,172.0285492,258.019989,119.9300003
11/09/24,0.0489,184.7599945,22.38999939,161.1699982,206.0274506,70.4754715,572.3483276,711.0900269,170.9151001,249.0200043,121.5199966
12/09/24,0.0485,181.9600067,22.26000023,160.5,203.9799957,69.98915863,582.300293,706.7999878,169.1256256,240.6600037,122.5800018
13/09/24,0.0478,186.5099945,22.59000015,160.2899933,211.2200012,69.6417923,595.4597168,719.7000122,167.8928833,250.0800018,124.8300018
16/09/24,0.0475,180.8000031,22.37999916,159.5299988,210.9299927,68.49052429,584.3087158,701.9199829,166.143158,240.8300018,125.3700027
17/09/24,0.0475,182.7200012,23.31999969,159.6900024,210.75,68.65924835,592.4121704,721.7600098,167.1770935,244.5,122.0400009
18/09/24,0.0465,185.1699982,23.45999908,160.6499939,213.4199982,69.04631042,590.0340576,727.4299927,168.2805939,241.0500031,122.0899963
19/09/24,0.0461,186.6499939,23.21999931,160.5099945,212.8399963,68.72872162,583.359436,730.289978,167.9624634,238.7700043,123.1399994
20/09/24,0.0456,188.8200073,23.55999947,161.4600067,222.2899933,69.04631042,589.4745483,722.789978,170.0899506,217.8000031,123.6100006
23/09/24,0.0453,187.5399933,23.44000053,161.6000061,221.4799957,69.81050873,589.9440918,713,171.5016479,219.1600037,124.0800018
24/09/24,0.045,187.6900024,22.65999985,164.1000061,222.3899994,69.81050873,585.7974854,705.9799805,172.5554657,219.5700073,120.3499985
25/09/24,0.0451,186.8899994,22.30999947,164.2799988,223.6399994,70.03878021,576.3250732,702,171.3724213,221.3300018,120.6600037
26/09/24,0.045,187.5299988,22.44000053,164.4700012,224.4199982,69.37382507,576.4650269,687.6500244,171.272995,220.8899994,120.3499985
