date,AXON,BRENT,CEG,EVO,FIVE,HWM,MBLY,NFE,NVDA,NYCB,PLTR,QXO,SEDG,SGML,TBIL,TDOC,TPL,TRGP,UAL,VST,WOLF,SP500
2024-03-19,312.1300049,85.41999817,171.5576782,7.329999924,206.6600037,67.02210999,28.37,29.9531517,89.37686157,10.4775877,23.79999924,88.50804901,62.25,12.55000019,0.0524,15.02999973,551.9928589,107.3183823,43.90999985,63.3641,24.81999969,5178.509766
2024-03-20,314.2799988,85.33999634,174.8413696,7.510000229,208.9700012,67.38131714,30.5,30.31807327,90.35062408,10.71639347,24.56999969,89.04122925,65.44999695,12.59000015,0.0524,15.40999985,553.8917236,107.2888718,45.97999954,66.41891479,27.23999977,5224.620117
2024-03-21,316.0899963,86.88999939,173.2691803,7.25,176.7899933,67.5309906,31.39999962,29.48960304,91.41336823,11.07460213,24.48999977,91.17395782,66.73,12.59000015,0.0525,15.27999973,556.5632935,109.1871796,46.63000107,68.0309,27.97999954,5241.529785
2024-03-22,316.3200073,87.37999725,177.3588562,7.429999828,170.9900055,67.95005798,31.56999969,29.64740753,94.2667,10.56713963,24.18000031,87.30839539,64.69999695,11.88000011,0.0524,15,551.9502563,109.0789948,46.47000122,68.74730682,27.29999924,5234.180176
2024-03-25,315.4700012,85.94999695,186.3342438,7.320000172,173.8800049,67.2117,31.19000053,29.35152435,94.97952271,9.940275192,24.51000023,86.84185791,64.02,11.85000038,0.0523,15.07999992,564.6173096,109.7773285,44.88999939,70.8468399,27.45999908,5218.189941
2024-03-26,319.1400146,85.77999878,184.4934,7.449999809,178.0500031,67.50104523,31.35000038,29.1937,92.53910065,9.55221653,24.88999939,87.241745,63.43000031,11.52000046,0.0522,15.05000019,549.76,108.8330917,45.41999817,67.5532608,26.93000031,5203.580078
2024-03-27,315.6400146,85.43000031,183.9759674,7.809999943,183.8600006,67.93010712,32.70000076,29.1937,90.22864532,9.9701,24.51000023,86.97515869,69.69000244,12.15999985,0.0522,15.27000046,566.067749,109.226532,47.24,67.96123505,28.57999992,5248.490234
2024-03-28,312.8800049,86.75,183.9361725,7.829999924,181.3800049,68.27933502,32.15000153,30.17013168,90.33462524,9.611917496,23.01000023,87.90821838,70.98,12.96000004,0.0523,15.10000038,568.2088623,110.1510925,47.88000107,69.30453491,29.5,5254.350098
2024-04-01,311.3699951,86.25,185.0605774,7.699999809,178.8800049,65.96443939,32.09999847,29.70658302,90.3416214,9.5821,22.86000061,85.70884705,70.95999908,14.10999966,0.0523,14.85000038,560.9210205,110.3871536,47.34999847,71.17520905,29.89999962,5243.77002
2024-04-02,309.3599854,86.08999634,187.2,7.630000114,171.1300049,65.11631775,32.70999908,29.84466171,89.43083954,9.1642,22.71999931,86.1087,66.88999939,14.46000004,0.0522,14.32999992,565.4096069,111.4297409,45.65000153,70.7971,27.75,5205.810059
2024-04-03,309.1000061,87.48,189.3194275,7.650000095,164.7400055,65.85468292,32.61999893,29.81507301,88.94295502,9.701469421,22.70000076,86.641922,68.38999939,14.97000027,0.0522,14.40999985,576.4495,114.095253,44.61999893,73.39414978,27.02000046,5211.490234
2024-04-04,306.8299866,87.41999817,182.2047577,7.510000229,163.9900055,65.3857,31.78000069,29.32193565,85.88467407,9.611917496,22.47999954,85.64220428,68.77,13.77000046,0.0521,14.25,586.5267334,112.4822,43.22000122,70.19011688,27.06999969,5147.209961
2024-04-05,309.8999939,88.91999817,192.1255,7.559999943,162.7700043,66.9124,31.70999908,29.26276016,87.9872,9.313410759,22.95999908,85.57555389,66.69000244,14.44999981,0.0523,14.48999977,585.6035,114.0657425,43.18999863,74.95635986,26.30999947,5204.339844
2024-04-08,311.2099915,89.35,191.0309143,7.869999886,160.3300018,66.58307648,31.26000023,28.99646378,87.11238861,9.82087326,23,83.64277649,66.94999695,15.14000034,0.0523,14.61999989,568.8079834,114.0657425,43.31000137,74.0508728,26.84000015,5202.390137
2024-04-09,311.269989,90.65,187.170105,7.829999924,159.5800018,65.70501709,32.02999878,29.75589752,85.33380127,9.611917496,22.80999947,86.50862122,72.08999634,15.42000008,0.0523,15.06,578.9147339,112.5313568,43.43999863,69.18512726,28.89999962,5209.910156
2024-04-10,318.26,91.16999817,190.135376,7.22,160.2299957,65.1063385,30.90999985,28.94715309,87.0184,8.835801125,22.42000008,84.17595673,70.69999695,15.51000023,0.0525,14.5,583.6390991,112.7969208,42.36999893,70.409,27.39999962,5160.640137
2024-04-11,324.0899963,90.37999725,191.9264679,7.150000095,163,65.4456,31.40999985,28.56250381,90.59455872,8.955202103,22.84000015,87.241745,70.26000214,15.60000038,0.0525,14.60000038,590.8091431,113.4362488,43.04000092,71.64287567,27.86000061,5199.060059
2024-04-12,310.8099976,89.41999817,190.7224426,7.289999962,157.4799957,63.85908508,31.71999931,28.01019096,88.1651,8.477592468,22.67000008,84.57583618,65.35,14.64999962,0.0525,14.21000004,594.9343,112.8067627,41.79999924,69.39408112,26.25,5123.410156
2024-04-15,303.3099976,90.48,184.4834442,7.25,152.8099976,63.3502121,31.35000038,27.5959549,85.98065186,8.686546326,21.89999962,92.64020538,60.43999863,13.97999954,0.0525,13.55000019,573.5127,112.4624939,41.04000092,67.88162231,25.54999924,5061.819824
2024-04-16,300.3099976,89.73999786,185.7272644,7.010000229,149.3000031,63.879,30.13,27.23103523,87.39432526,8.716397285,21.88,98.23860168,59.52000046,13.68000031,0.0525,13.13000011,576.4789429,112.1969376,41.5,67.26470184,25.44000053,5051.410156
2024-04-17,299.8200073,90.44999695,184.4834442,7.239999771,152.1000061,63.32027435,30.95999908,27.11268044,84.01512146,8.865650177,21.30999947,103.903656,59.74,13.5,0.0525,13.14000034,574.5440063,110.3871536,48.74,68.30949402,25.23999977,5022.209961
2024-04-18,297.5899963,90.1,182.9510651,7.150000095,152,63.36019135,30.97999954,27.81293678,84.65096283,8.805950165,21.13,91.9737,57.38999939,13.40999985,0.0525,13.18000031,572.0296021,109.9445343,51.41999817,65.55323029,23.71999931,5011.120117
2024-04-19,293.6099854,90.02,180.0056915,7.070000172,150.2899933,63.27038956,30.22999954,27.67485809,76.18197632,8.805950165,20.46999931,87.7749,55.79999924,13.35000038,0.0525,12.97999954,572.2260132,111.0658112,51.38000107,65.3343,22.18000031,4967.22998
2024-04-22,293.7999878,87.29000092,182.3142242,7.360000134,148.6100006,62.79144287,30.12,27.75375938,79.49919128,9.313410759,20.96999931,88.50804901,54.51,13.53999996,0.0522,13.30000019,575.3789,111.9412003,53.93999863,66.3890686,23.94000053,5010.600098
2024-04-23,301.5599976,87.11000061,187.3193665,7.650000095,147.7899933,64.61742401,30.43000031,27.68472099,82.40350342,9.492515564,21.63999939,91.04066467,56.77000046,14.02999973,0.0525,13.73999977,577.3432007,114.1050797,54.02999878,68.11048126,22.56999969,5070.549805
2024-04-24,302.4100037,87.29000092,185.2397003,5.230000019,148.5399933,64.55754089,31.12,27.22117043,79.65815735,9.134307861,21.59000015,86.1087,57.86000061,14.06999969,0.0526,13.72999954,578.5219116,114.9804611,52.66999817,70.11051941,24.47999954,5071.629883
