date,FOX,CBS,ABC
2015-02-12,32.14878621,55.9528221,95.60857206
2015-02-13,32.48170925,57.948024,96.09700612
2015-02-17,32.80980732,58.30638551,96.34601172
2015-02-18,32.44310948,57.92865311,96.40347455
2015-02-19,32.66505817,57.66714606,96.73867439
2015-02-20,33.07518077,57.62840428,97.66765681
2015-02-23,33.19580506,57.79305686,98.4146736
2015-02-24,32.86770698,57.53154982,98.6157935
2015-02-25,32.77120755,57.89959677,98.92226193
2015-02-26,32.61198349,57.27972822,98.62537064
2015-02-27,32.8484071,57.24098644,98.4146736
2015-03-02,33.06070585,59.80762965,98.7402963
2015-03-03,33.41292878,60.82460149,98.68283347
2015-03-04,32.87735693,60.49529632,99.10422756
2015-03-05,32.84358213,59.61392073,99.25746177
2015-03-06,32.41898462,58.6841179,97.93581668
2015-03-09,32.61198349,58.75191603,98.97014762
2015-03-10,32.20003244,57.70329482,98.57748495
2015-03-11,32.14672113,57.85864611,99.44900454
2015-03-12,32.45204955,59.85879397,100.9238838
2015-03-13,31.96740126,59.15971316,101.6613235
2015-03-16,32.2969621,60.27630056,105.4730246
2015-03-17,31.96740126,59.97530744,105.6932987
2015-03-18,32.83007522,61.27637449,106.9766353
2015-03-19,32.54897921,60.81032062,107.6183035
2015-03-20,33.34380241,61.50940143,108.6622116
2015-03-23,33.58612655,60.8588679,108.8346001
2015-03-24,33.07239936,60.56758423,109.0740286
2015-03-25,32.23395782,59.72286159,107.3980294
2015-03-26,31.99648016,59.22767935,107.3501437
2015-03-27,31.7299236,59.43157792,108.4036289
2015-03-30,32.13218168,60.07240199,108.690943
2015-03-31,31.8704716,58.86842949,108.8633315
2015-04-01,31.69599822,57.88777448,107.2926808
2015-04-02,32.21941837,59.38303064,107.6374578
2015-04-06,32.44720307,59.12087534,107.7811149
2015-04-07,32.2678832,59.11116588,107.9151948
2015-04-08,32.2097254,59.48983465,108.4515146
2015-04-09,32.41327769,59.42186847,108.7005202
2015-04-10,32.34542693,59.81024669,110.4722908
2015-04-13,32.15156761,59.53838193,109.1698
2015-04-14,32.11279575,59.71315213,109.1793771
2015-04-15,32.16126058,59.86850342,108.8154458
2015-04-16,32.16126058,59.98501689,109.0165657
2015-04-17,31.61845449,58.91697677,107.8481549
2015-04-20,32.10310278,59.42186847,108.4036289
2015-04-21,32.11279575,59.69373322,109.0740286
2015-04-22,32.28726913,59.78111832,108.9974115
2015-04-23,32.61682997,59.83937506,110.3286337
2015-04-24,32.91246543,60.89770572,110.5967936
2015-04-27,32.77191742,59.90734125,109.2847256
2015-04-28,32.75253149,59.81024669,109.1410685
2015-04-29,32.74768501,60.946253,107.6853435
2015-04-30,32.32604099,60.32484784,109.4666912
2015-05-01,32.61198349,60.81032062,109.7635825
2015-05-04,32.54897921,60.80061116,110.3765194
2015-05-05,32.18064651,59.97530744,109.8497768
2015-05-06,32.01101961,59.34419282,109.2368399
2015-05-07,31.34220496,59.44128738,109.2464171
2015-05-08,31.44398111,59.05290915,110.4244051
2015-05-11,31.51183187,57.93632175,110.0508967
2015-05-12,31.37613034,57.98486903,110.1849766
2015-05-13,31.64753339,57.98486903,109.4666912
2015-05-14,32.04494499,57.90719339,110.0892052
2015-05-15,32.59744404,58.20818651,109.6283399
2015-05-18,32.45204955,59.01407133,108.7930215
2015-05-19,33.13055716,58.93639568,110.5212665
2015-05-20,33.16932902,59.305355,110.137212
2015-05-21,33.3728813,60.01414526,109.3979072
2015-05-22,33.0627064,59.80053723,109.2634882
2015-05-26,32.76222446,58.91697677,108.4953793
2015-05-27,32.96577674,60.82973953,109.0618596
2015-05-28,32.73314556,60.22775328,108.5913929
2015-05-29,32.41327769,59.92676016,108.0729194
2015-06-01,32.43266362,59.71315213,108.7450147
2015-06-02,32.32604099,59.85879397,107.9961085
2015-06-03,32.53928624,60.41223294,107.9000949
2015-06-04,32.48112845,59.94617907,107.0455738
2015-06-05,32.09340982,59.54809139,107.0551752
2015-06-08,31.98678719,58.67424038,105.826201
2015-06-09,31.71538415,58.25569487,104.7700512
2015-06-10,31.8413927,57.90528468,104.4148009
2015-06-11,31.81231381,57.20446429,106.0086268
2015-06-12,31.58937559,56.93192302,105.7589914
2015-06-15,31.26950772,56.59124645,106.2198568
2015-06-16,31.18227103,56.1532337,106.7479316
2015-06-17,31.49244593,56.45497581,107.0647765
2015-06-18,31.78323491,56.95139026,107.4584323
2015-06-19,31.71538415,56.51337751,107.0263711
2015-06-22,31.97709423,56.78591878,107.3336146
2015-06-23,32.04494499,56.54257836,107.3528174
2015-06-24,31.52152483,55.25774098,105.2309166
2015-06-25,31.60876152,55.60815118,103.3202457
2015-06-26,31.79292787,55.48161416,103.541077
2015-06-29,30.90117502,53.8561002,101.8704402
2015-06-30,31.23073586,54.02157168,102.1008729
2015-07-01,31.46336704,54.4401172,103.4162593
2015-07-02,31.23073586,54.04103892,102.8305763
2015-07-06,31.25012179,53.42782108,103.7235029
2015-07-07,31.47306,54.09944062,104.2995846
2015-07-08,30.82363129,52.83407047,103.5314757
2015-07-09,30.95933281,52.80486962,104.5204159
2015-07-10,31.54091076,53.38888661,105.0964975
2015-07-13,32.09340982,54.06050615,105.6821805
2015-07-14,32.10310278,53.92423552,105.9990254
2015-07-15,32.16126058,53.89503467,106.1238431
2015-07-16,32.44235658,53.9729036,107.4200269
2015-07-17,32.18064651,53.24288236,108.6874065
2015-07-20,32.12248871,52.64913176,110.1852188
2015-07-21,31.74446305,52.65886537,109.551529
2015-07-22,31.93832236,52.68806622,110.3676447
2015-07-23,31.48275297,52.31818879,105.7301873
2015-07-24,31.82200677,51.62710202,104.3955982
2015-07-27,31.29858662,51.26695821,103.0898131
2015-07-28,31.71538415,51.34482714,103.6946988
2015-07-29,31.97709423,51.20855651,103.4834689
2015-07-30,32.04494499,51.78283989,100.3054184
