date,AAPL,AMZN,FB,GOOG,NFLX
2015-09-09,105.96558645819,516.89,90.44,612.72,99.18
2015-09-10,108.29365472173001,522.24,91.98,621.35,99.48
2015-09-11,109.87135387553002,529.44,92.05,625.77,97.51
2015-09-14,110.9295667226,521.38,92.31,623.24,95.69
2015-09-15,111.86271805137,522.37,92.9,635.14,99.16
2015-09-16,111.98777956966002,527.39,93.45,635.98,104.08
2015-09-17,109.59237048858,538.87,94.34,642.9,104.21
2015-09-18,109.14022499938,540.26,94.4,629.25,102.62
2015-09-21,110.83336555468,548.39,95.55,635.44,100.3
2015-09-22,109.09212441542,538.4,92.96,622.69,98.47
2015-09-23,109.97717516023998,536.07,93.97,622.36,98.07
2015-09-24,110.63134310206001,533.75,94.41,625.8,103.76
2015-09-25,110.35235971511001,524.25,92.77,611.97,102.24
2015-09-28,108.16859320344,504.06,89.21,594.89,99.47
2015-09-29,104.91699372792,496.07,86.67,594.97,98.35
2015-09-30,105.77318412236001,511.67,89.73,608.42,103.24
2015-10-01,105.41723980108,520.72,90.95,611.29,105.98
2015-10-02,106.1868491444,532.54,92.07,626.91,106.11
2015-10-05,106.57165381605999,543.68,94.01,641.47,111.25
2015-10-06,107.081520006,537.48,92.8,645.44,108.33
2015-10-07,106.57165381605999,541.94,92.4,642.36,108.1
2015-10-08,105.34027886675,533.16,92.47,639.16,114.93
2015-10-09,107.86074946611001,539.8,93.24,643.61,113.33
2015-10-12,107.36050339296,550.19,94.26,646.67,113.45
2015-10-13,107.543285612,548.9,94.12,652.3,109.73
2015-10-14,106.02330715894001,544.83,94.07,651.16,110.23
2015-10-15,107.61062642954,562.44,95.96,661.74,101.09
2015-10-16,106.82177685263001,570.76,97.54,662.2,98.99
2015-10-19,107.48556491125,573.15,98.47,666.1,101.69
2015-10-20,109.44806873671,560.88,97.0,650.28,98.99
2015-10-21,109.43844861991998,555.77,97.11,642.61,97.96
2015-10-22,111.11234894164,563.91,99.67,651.79,97.32
2015-10-23,114.55635075299,599.03,102.19,702.0,100.04
2015-10-26,110.90070637222,608.61,103.77,712.78,103.04
2015-10-27,110.19843784645,611.01,103.7,708.49,103.07
2015-10-28,114.73913297203,617.1,104.2,712.95,105.8
2015-10-29,115.95126768774999,626.55,104.88,716.92,105.12
2015-10-30,114.96039565823,625.9,101.97,710.81,108.38
2015-11-02,116.5765752792,628.35,103.31,721.11,107.64
2015-11-03,117.91377151321001,625.31,102.58,722.16,109.74
2015-11-04,117.3654248561,640.95,103.94,728.11,114.05
2015-11-05,116.82669831578,655.65,108.76,731.25,113.5
2015-11-06,116.9619591309,659.37,107.095,733.76,114.06
2015-11-09,116.48854627798,655.49,106.49,724.89,109.86
2015-11-10,112.81718129616999,659.68,107.91,728.32,112.7
2015-11-11,112.17952316774999,673.25,109.01,735.4,112.86
2015-11-12,111.80272518278,665.6,108.02,731.23,108.92
2015-11-13,108.53714264633001,642.35,103.95,717.0,103.65
2015-11-16,110.31002547307,647.81,104.04,728.96,111.35
2015-11-17,109.84144336355,643.3,105.13,725.3,117.1
2015-11-18,113.31957860946999,663.54,107.77,740.0,120.63
2015-11-19,114.75914014181002,661.27,106.26,738.41,120.22
2015-11-20,115.26153745511002,668.45,107.32,756.6,123.84
2015-11-23,113.76400700201,678.99,106.95,755.98,125.03
2015-11-24,114.85575500976002,671.15,105.74,748.28,123.31
2015-11-25,114.03452863225,675.34,105.41,748.15,124.16
2015-11-27,113.82197592277001,673.26,105.45,750.26,125.44
2015-11-30,114.29538877568999,664.8,104.24,742.6,123.33
2015-12-01,113.36788604344,679.06,107.12,767.04,125.37
2015-12-02,112.34376844326,676.01,106.07,762.38,128.93
2015-12-03,111.30032786948,666.25,104.38,752.54,126.81
2015-12-04,115.00067731167,672.64,106.18,766.81,130.93
2015-12-07,114.27606580209999,669.83,105.61,763.25,125.36
2015-12-08,114.22775836813,677.33,106.49,762.37,126.98
2015-12-09,111.70611031483999,664.79,104.6,751.61,124.2
2015-12-10,112.23749208852,662.32,105.42,749.46,122.91
2015-12-11,109.34870753705,640.15,102.12,738.87,118.91
2015-12-14,108.67240346145,657.91,104.66,747.77,120.67
2015-12-15,106.74976758940001,658.64,104.55,743.4,118.6
2015-12-16,107.57099396691,675.77,106.79,758.09,122.64
2015-12-17,105.29088308347,670.65,106.22,749.43,122.51
2015-12-18,102.44074447918001,664.14,104.04,739.31,118.02
2015-12-21,103.69673776241999,664.51,104.77,747.77,116.63
2015-12-22,103.60012289448,663.15,105.51,750.0,116.24
2015-12-23,104.93340807209,663.7,104.63,750.31,118.16
2015-12-24,104.37304183802,662.79,105.02,748.4,117.33
2015-12-28,103.20400193591999,675.2,105.93,762.51,117.11
2015-12-29,105.05900740041001,693.97,107.26,776.6,119.12
2015-12-30,103.68707627562999,689.07,106.22,771.0,116.71
2015-12-31,101.69680999602,675.89,104.66,758.88,114.38
2016-01-04,101.78376337716999,636.99,102.22,741.84,109.96
2016-01-05,99.233130863492,633.79,102.73,742.58,107.66
2016-01-06,97.29117201785299,632.65,102.97,743.62,117.68
2016-01-07,93.185040130307,607.94,97.92,726.39,114.56
2016-01-08,93.677775956812,607.05,97.33,714.47,111.39
2016-01-11,95.194629383506,617.74,97.51,716.03,114.97
2016-01-12,96.57622199508002,617.89,99.37,726.07,116.58
2016-01-13,94.093219888964,581.81,95.44,700.56,106.56
2016-01-14,96.151116576134,593.0,98.37,714.72,107.06
2016-01-15,93.842021232314,570.18,94.97,694.45,104.04
2016-01-19,93.38793135298599,574.48,95.26,701.79,107.89
2016-01-20,93.513530681311,571.77,94.35,698.45,107.74
2016-01-21,93.04011782839399,575.02,94.16,706.59,102.35
2016-01-22,97.986799067037,596.38,97.94,725.25,100.72
2016-01-25,96.07382468178001,596.53,97.01,711.67,99.12
2016-01-26,96.605206455463,601.25,97.34,713.04,97.83
2016-01-27,90.257609631657,583.35,94.45,699.99,91.15
2016-01-28,90.90492924687,635.35,109.11,730.96,94.41
2016-01-29,94.044912454993,587.0,112.21,742.95,91.84
2016-02-01,93.165717156719,574.81,115.09,752.0,94.09
2016-02-02,91.281727231844,552.1,114.61,764.65,91.49
2016-02-03,93.08842526236499,531.07,112.69,726.95,90.74
2016-02-04,93.83235974552,536.26,110.49,708.01,89.71
2016-02-05,91.32627808772,502.13,104.07,683.57,82.79
2016-02-08,92.28791407269001,488.1,99.75,682.74,83.32
2016-02-09,92.268487083095,482.07,99.54,678.11,86.13
2016-02-10,91.569115457662,490.48,101.0,684.12,88.45
2016-02-11,91.015446254195,503.82,101.91,683.11,86.35
2016-02-12,91.297137603327,507.08,102.01,682.4,87.4
2016-02-16,93.871213724711,521.1,101.61,691.0,89.05
2016-02-17,95.308810954766,534.1,105.2,708.4,94.76
2016-02-18,93.50210092239901,525.0,103.47,697.35,90.49
2016-02-19,93.28840403685,534.9,104.57,700.91,89.23
2016-02-22,94.104337599855,559.5,107.16,706.46,91.93
2016-02-23,91.977082239165,552.94,105.46,695.85,89.12
2016-02-24,93.346685005636,554.04,106.88,699.56,91.61
2016-02-25,93.987775662283,555.15,108.07,705.75,94.53
2016-02-26,94.13347808424801,555.23,107.92,705.07,94.79
2016-02-29,93.919781198699,552.52,106.92,697.77,93.41
2016-03-01,97.649763201006,579.04,109.82,718.81,98.3
2016-03-02,97.863460086554,580.21,109.95,718.85,97.61
2016-03-03,98.59197219638,577.49,109.58,712.42,97.93
2016-03-04,100.05870991083,575.14,108.39,710.89,101.58
2016-03-07,98.95137150389401,562.8,105.73,695.16,95.49
2016-03-08,98.13543794088899,560.26,105.93,693.97,96.23
