date,AAPL,AMZN,BA,GOOG,IBM,MGM,T,TSLA,SP500
21/01/2015,104.0729582,297.25,121.4914394,518.04,136.5772472,19.03086558,29.53166339,196.57,2032.119995
22/01/2015,106.7804701,310.32,124.4550928,534.39,139.5406564,19.67380022,29.34926194,201.62,2063.149902
23/01/2015,107.3314725,312.39,123.5192022,539.95,139.9716978,19.78260455,28.98445904,201.29,2051.820068
26/01/2015,107.445473,309.66,123.0145554,535.21,140.4117192,20.66293045,28.81942915,206.55,2057.090088
27/01/2015,103.6834564,306.75,121.5556671,518.63,137.9960916,20.63325654,28.49805517,205.98,2029.550049
28/01/2015,109.5449822,303.91,128.1252518,510,136.0923257,20.09912622,28.38513999,199.37,2002.160034
29/01/2015,112.9554973,311.78,135.5940254,510.66,139.6214767,19.96064799,28.62834192,205.2,2021.25
30/01/2015,111.30249,354.53,133.3827546,534.52,137.6728106,19.26825683,28.59359879,203.6,1994.98999
02/02/2015,112.6989961,364.47,134.199365,528.48,138.8851144,19.52543069,29.14948892,210.94,2020.849976
03/02/2015,112.7179962,363.55,135.1903079,529.24,142.3065051,20.23760445,29.82698002,218.36,2050.030029
04/02/2015,113.5825,364.75,135.0802032,522.76,140.9505209,19.65401762,29.88778051,218.55,2041.51001
05/02/2015,114.3900036,373.89,136.346408,527.58,141.8036235,20.10901752,30.00069569,220.99,2062.52002
06/02/2015,113.4267394,374.28,135.7958842,531,141.7228033,19.74303934,30.28732654,217.36,2055.469971
09/02/2015,114.1801837,370.56,135.4105175,527.83,140.8456267,19.37706116,30.08755352,217.48,2046.73999
10/02/2015,116.3737555,372.995,135.8325858,536.94,143.3867259,20.51456092,30.26995497,216.29,2068.590088
11/02/2015,119.1014144,375.14,136.5574422,535.97,143.0611758,20.52445222,29.87040894,212.8,2068.530029
12/02/2015,120.6083029,377.17,136.7143835,542.93,143.3505537,21.00912603,30.06149617,202.88,2088.47998
13/02/2015,121.1996136,381.83,138.228406,549.01,145.0506486,21.22673468,30.10492509,203.77,2096.98999
17/02/2015,121.9149088,375.43,138.4038111,542.84,145.5570598,21.63227807,30.14835401,204.35,2100.340088
18/02/2015,122.7589571,373.37,139.5577916,539.7,146.6693559,22.05760407,29.95726677,204.46,2099.679932
19/02/2015,122.5062194,378.995,141.9396075,542.87,148.2066758,22.1960823,29.60983544,211.705,2097.449951
20/02/2015,123.502864,383.66,146.1493285,538.95,147.9896424,22.38401705,29.60114966,217.11,2110.300049
23/02/2015,126.8456768,380.14,142.8535601,531.91,147.3204561,22.30488663,29.40137664,207.335,2109.659912
24/02/2015,126.0540835,378.59,142.5212137,536.09,149.0567232,21.64216938,29.57509231,204.11,2115.47998
25/02/2015,122.8304866,385.37,141.256451,543.87,147.2300255,21.7311911,29.71406484,203.76,2113.860107
26/02/2015,124.3802928,384.8,140.0747749,555.48,145.4756723,21.71140849,29.96595256,207.19,2110.73999
27/02/2015,122.5157567,380.16,139.2623726,558.4,146.4432795,21.49379984,30.01806726,203.34,2104.5
02/03/2015,123.1166047,385.655,141.9857667,571.34,145.122993,21.63227807,30.08755352,197.325,2117.389893
03/03/2015,123.3741109,384.61,143.6198031,573.64,145.6203612,21.78064761,29.88778051,199.56,2107.780029
04/03/2015,122.5920549,382.72,142.4935181,573.37,144.1644289,21.83999542,29.53166339,202.435,2098.530029
05/03/2015,120.5606166,387.83,142.6043003,575.33,145.7560071,21.69162589,29.53166339,200.63,2101.040039
06/03/2015,120.7418247,380.09,141.3580013,567.685,143.3324676,21.38499552,29.08000265,193.88,2071.26001
09/03/2015,121.2568372,378.56,142.8627919,568.85,145.3852417,20.68271306,28.96708747,190.88,2079.429932
10/03/2015,118.7485355,369.51,140.7117722,555.01,142.7084966,19.81227846,28.47199782,190.32,2044.160034
11/03/2015,116.5835754,366.37,139.5577916,551.18,141.7951477,19.37706116,28.33302529,193.74,2040.23999
12/03/2015,118.6913119,374.24,140.3609621,555.51,142.8622286,19.50564809,28.77600024,191.07,2065.949951
13/03/2015,117.8711067,370.58,139.9270654,547.32,139.5162971,19.19901771,28.45462625,188.68,2053.399902
16/03/2015,119.1681753,373.35,141.8657527,554.51,142.0483534,19.44630027,28.71519975,195.7,2081.189941
17/03/2015,121.1614645,371.92,142.6412276,550.84,141.9398367,21.50369114,28.57622722,194.73,2074.280029
18/03/2015,122.525294,375.135,143.7675126,559.5,144.5171082,22.27521272,29.17554627,200.71,2099.5
19/03/2015,121.5954103,373.24,142.2719539,557.99,144.5171082,22.6016257,28.83680072,195.65,2089.27002
20/03/2015,120.0742159,378.49,142.6319958,560.36,147.2933269,22.37412574,28.86285807,198.08,2108.100098
23/03/2015,121.3235981,375.11,141.0718141,558.81,148.8758621,22.1664084,28.90628699,199.63,2104.419922
24/03/2015,120.8276601,374.09,140.0009201,570.19,147.4018436,21.83999542,28.72388554,201.72,2091.5
25/03/2015,117.6708241,370.96,136.8436294,558.785,143.9654816,21.45423463,28.33302529,194.3,2061.050049
26/03/2015,118.4910292,367.35,136.7882383,555.17,145.2224667,21.15749556,28.50674095,190.405,2056.149902
27/03/2015,117.5468396,370.56,137.4160037,548.34,145.0506486,21.06847384,28.44594047,185,2061.02002
