Dates,ticker,return,momentum,dividend_yield,Industrials,United States,market_intercept,Healthcare,Technology,Utilities,Financial Services,Basic Materials,Consumer Defensive,Ireland,Energy,Communication Services,Consumer Cyclical,value,size,trading_activity,growth,leverage,profitability
2020-12-07,DIS,0.016236275,1.506731034,-0.455302699,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.432437638,0.314937859,-0.453017869,-0.447412383,-0.224727711,-1.752983061
2020-12-14,DIS,-0.004846795,1.452352907,-0.454467878,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.485499526,0.353961554,1.635412381,-0.444703693,-0.224727711,-1.732063215
2020-12-21,DIS,-0.041988627,1.222666256,-0.456485932,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.484757206,0.352446168,0.469020025,-0.447234538,-0.224727711,-1.731580316
2020-12-28,DIS,0.013838497,0.857321017,-0.457295621,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.490527026,0.353640015,-0.251252198,-0.44384327,-0.224727711,-1.704477078
2021-01-04,DIS,0.041419109,1.308180875,-0.430479693,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.548070694,0.384263999,0.159912312,-0.431037026,-0.102030229,-1.569442
2021-01-11,DIS,-0.007785736,1.213876635,-0.452546471,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.581176356,0.346652471,-0.488394066,-0.444060752,-0.33176799,-1.681700965
2021-01-18,DIS,0.02704374,1.251812193,-0.485958083,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.583301347,0.338374926,-0.370194391,-0.443026189,-0.33176799,-1.693785195
2021-01-25,DIS,-0.074405277,1.21411143,-0.481086375,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.610843055,0.336599833,-0.28016308,-0.444350093,-0.33176799,-1.61619487
2021-02-01,DIS,-0.035304453,1.247418496,-0.488532345,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.61171201,0.338114932,-0.271065976,-0.449113049,-0.33176799,-1.596634648
2021-02-08,DIS,0.021653353,1.205249725,-0.492552678,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.623131982,0.343164068,-0.451536612,-0.448703669,-0.319513242,-1.595824083
2021-02-15,DIS,-0.028926858,1.224937402,-0.479051289,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.630992786,0.349870279,0.791956413,-0.453964648,-0.319513242,-1.603463576
2021-02-22,DIS,-0.005012871,1.237794713,-0.491812378,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.619038802,0.343897371,0.032333891,-0.457666695,-0.319513242,-1.618029651
2021-03-01,DIS,-0.037044132,1.068588821,-0.485612129,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.647946747,0.357718972,0.434692804,-0.459317822,-0.319513242,-1.618029651
2021-03-08,DIS,0.03100946,0.803217754,-0.505508769,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.637501218,0.350758358,-0.378363651,-0.460302424,-0.317309718,-1.629685361
2021-03-15,DIS,0.027689677,1.105672138,-0.508916194,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.633735766,0.424382738,0.335563043,-0.409258328,-0.34831307,-1.590088774
2021-03-22,DIS,-0.016271815,0.957429291,-0.477828774,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.646955586,0.350972116,-0.144384605,-0.464667965,-0.317309718,-1.632198162
2021-03-29,DIS,0.005731597,0.58508861,-0.476863143,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.616125555,0.340903454,-0.19294601,-0.465788985,-0.317309718,-1.632772038
2021-04-05,DIS,0.003358686,0.600616576,-0.478303633,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.586359355,0.286944621,-0.559562303,-0.497130464,-0.340575238,-1.453465073
2021-04-12,DIS,0.022902536,0.846772375,-0.415992305,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.588862123,0.266238545,-0.344852738,-0.507927243,-0.43868106,-1.431684618
2021-04-19,DIS,-0.016258758,0.630685281,-0.394796579,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.578061967,0.327082692,-0.255868013,-0.466427175,-0.392975311,-1.467020408
2021-04-26,DIS,0.006363652,0.412739408,-0.3887219,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.568309195,0.31976405,-0.25845248,-0.46866899,-0.392975311,-1.470852996
2021-05-03,DIS,0.062160911,0.667350382,-0.398094656,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.610249237,0.433208528,-0.562594747,-0.399761557,-0.376120793,-2.110975104
2021-05-10,DIS,0.007512333,0.530400592,-0.369785099,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.552145262,0.31713812,-0.558720401,-0.471305798,-0.401286588,-1.524981626
2021-05-17,DIS,-0.035611227,0.3230808,-0.388320269,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.52795026,0.301057024,0.260415914,-0.4760373,-0.401286588,-1.553217548
2021-05-24,DIS,0.008262427,0.583786795,-0.412334135,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.585249598,0.251813308,-0.153985442,-0.517524314,-0.343014355,-1.486182303
